N,Bias_a,Bias_v,Bias_t,SE_a,SE_v,SE_t
10,-0.648653,0.302016,0.223300,0.420750,0.091214,0.049863
10,0.397429,-0.295423,-0.338923,0.157950,0.087275,0.114869
10,-0.371740,0.281701,0.088801,0.138190,0.079356,0.007886
10,1.239188,-0.873503,-1.060390,1.535588,0.763008,1.124426
10,-0.132945,-0.870057,0.040953,0.017674,0.756999,0.001677
10,-0.225126,3.854958,0.097633,0.050682,14.860700,0.009532
10,-0.339250,3.066297,0.028136,0.115091,9.402175,0.000792
10,-0.371708,5.671682,0.043638,0.138167,32.167981,0.001904
10,-0.346640,1.337131,0.075656,0.120159,1.787918,0.005724
10,-0.357637,5.914724,0.066552,0.127904,34.983965,0.004429
10,0.000300,0.048634,-0.017804,0.000000,0.002365,0.000317
10,-0.828849,0.966287,0.415827,0.686991,0.933710,0.172912
10,0.018434,-2.260664,0.022135,0.000340,5.110603,0.000490
10,-0.253142,1.382283,0.037067,0.064081,1.910706,0.001374
10,0.076971,-1.680076,0.021681,0.005925,2.822654,0.000470
10,0.848602,0.164726,-0.703832,0.720126,0.027135,0.495379
10,-1.051870,-0.541252,0.298140,1.106430,0.292954,0.088888
10,0.281046,-0.162131,-0.189904,0.078987,0.026286,0.036063
10,-0.350463,0.680736,0.544220,0.122824,0.463402,0.296175
10,-0.201999,-0.343754,0.119807,0.040804,0.118167,0.014354
10,-0.307818,0.160636,0.086958,0.094752,0.025804,0.007562
10,2.127198,-0.550807,-2.251485,4.524973,0.303388,5.069183
10,-0.090967,0.592936,0.476212,0.008275,0.351573,0.226778
10,0.089370,-0.600729,-0.025905,0.007987,0.360876,0.000671
10,-0.516459,0.811548,0.093136,0.266730,0.658610,0.008674
10,-0.350896,0.594514,0.104866,0.123128,0.353447,0.010997
10,-0.822740,0.774494,0.455724,0.676902,0.599841,0.207684
10,-0.609976,2.648784,0.393340,0.372070,7.016056,0.154716
10,-0.232078,-0.519271,0.021621,0.053860,0.269642,0.000467
10,0.193604,-0.817074,-0.101507,0.037482,0.667611,0.010304
10,0.500208,-0.410686,-0.327700,0.250208,0.168663,0.107387
10,-0.151378,-0.185948,0.085694,0.022915,0.034577,0.007344
10,-0.292464,6.425074,0.072852,0.085535,41.281582,0.005307
10,-0.208398,-0.081691,0.001672,0.043430,0.006673,0.000003
10,-0.260799,0.720568,-0.036536,0.068016,0.519218,0.001335
10,-0.717462,6.276585,0.199232,0.514752,39.395525,0.039693
10,1.200991,-0.530103,-0.896971,1.442379,0.281009,0.804557
10,-0.417203,3.055641,0.130999,0.174058,9.336941,0.017161
10,-0.294323,1.515454,0.083778,0.086626,2.296601,0.007019
10,-0.455864,-0.351778,0.240359,0.207812,0.123748,0.057773
10,0.225857,-1.154004,-0.080587,0.051011,1.331726,0.006494
10,-1.002164,-0.782251,0.171176,1.004332,0.611917,0.029301
10,0.753272,-0.105473,-0.844806,0.567419,0.011124,0.713697
10,0.362624,-0.492913,-0.215869,0.131496,0.242964,0.046600
10,-0.047895,-0.293670,0.060684,0.002294,0.086242,0.003683
10,-0.258344,1.252728,0.342043,0.066742,1.569327,0.116993
10,-0.213313,0.314767,0.127307,0.045503,0.099078,0.016207
10,1.723800,-0.248072,-1.605013,2.971488,0.061540,2.576067
10,-0.286560,3.411404,0.059802,0.082117,11.637680,0.003576
10,-0.281507,-0.458670,-0.021956,0.079246,0.210378,0.000482
10,0.189538,-0.014025,-0.226153,0.035925,0.000197,0.051145
10,0.275862,-0.272400,-0.129426,0.076100,0.074202,0.016751
10,-0.195287,1.295184,0.083256,0.038137,1.677502,0.006932
10,1.193585,-1.675620,-1.258237,1.424645,2.807702,1.583159
